destination,activity_name,activity_type,duration_hours
Alaminos,Hundred Islands boat tour & island hopping,outdoor,6
Alaminos,Lucap Wharf seafood tasting,indoor,2
Angeles City,Clark Freeport eco park & walking tour,outdoor,4
Angeles City,Center for Kapampangan Studies & culinary museum,indoor,3
Antipolo,Hinulugang Taktak nature park and falls,outdoor,4
Antipolo,Pinto Art Museum gallery tour,indoor,3
Bacolod,The Ruins historical landmark visit,outdoor,3
Bacolod,Manokan Country culinary food tour,indoor,2
Bacoor,Zapote Bridge historical landmark walk,outdoor,2
Bacoor,Bacoor oyster & seafood dining experience,indoor,2
Bago City,Bago City scenic landmarks and nature park tour,outdoor,4
Bago City,Bago City cultural heritage museum visit,indoor,3
Baguio,Mines View & Wright Park sightseeing,outdoor,4
Baguio,BenCab Museum art and eco trail tour,indoor,3
Bais,Bais scenic landmarks and nature park tour,outdoor,4
Bais,Bais cultural heritage museum visit,indoor,3
Balanga,Balanga scenic landmarks and nature park tour,outdoor,4
Balanga,Balanga cultural heritage museum visit,indoor,3
Batac City,Batac City scenic landmarks and nature park tour,outdoor,4
Batac City,Batac City cultural heritage museum visit,indoor,3
Batangas City,Calumpang River boardwalk & plaza tour,outdoor,3
Batangas City,Batangas Basilica & heritage museum visit,indoor,2
Bayawan,Bayawan scenic landmarks and nature park tour,outdoor,4
Bayawan,Bayawan cultural heritage museum visit,indoor,3
Baybay,Baybay scenic landmarks and nature park tour,outdoor,4
Baybay,Baybay cultural heritage museum visit,indoor,3
Bayugan,Bayugan scenic landmarks and nature park tour,outdoor,4
Bayugan,Bayugan cultural heritage museum visit,indoor,3
Bislig,Bislig scenic landmarks and nature park tour,outdoor,4
Bislig,Bislig cultural heritage museum visit,indoor,3
Biñan,Biñan scenic landmarks and nature park tour,outdoor,4
Biñan,Biñan cultural heritage museum visit,indoor,3
Bogo,Bogo scenic landmarks and nature park tour,outdoor,4
Bogo,Bogo cultural heritage museum visit,indoor,3
Borongan,Borongan scenic landmarks and nature park tour,outdoor,4
Borongan,Borongan cultural heritage museum visit,indoor,3
Butuan,Butuan scenic landmarks and nature park tour,outdoor,4
Butuan,Butuan cultural heritage museum visit,indoor,3
Cabadbaran,Cabadbaran scenic landmarks and nature park tour,outdoor,4
Cabadbaran,Cabadbaran cultural heritage museum visit,indoor,3
Cabanatuan City,Cabanatuan City scenic landmarks and nature park tour,outdoor,4
Cabanatuan City,Cabanatuan City cultural heritage museum visit,indoor,3
Cabuyao,Cabuyao scenic landmarks and nature park tour,outdoor,4
Cabuyao,Cabuyao cultural heritage museum visit,indoor,3
Cadiz,Cadiz scenic landmarks and nature park tour,outdoor,4
Cadiz,Cadiz cultural heritage museum visit,indoor,3
Cagayan de Oro,Cagayan de Oro scenic landmarks and nature park tour,outdoor,4
Cagayan de Oro,Cagayan de Oro cultural heritage museum visit,indoor,3
Calaca,Calaca scenic landmarks and nature park tour,outdoor,4
Calaca,Calaca cultural heritage museum visit,indoor,3
Calamba,Calamba scenic landmarks and nature park tour,outdoor,4
Calamba,Calamba cultural heritage museum visit,indoor,3
Calapan,Calapan scenic landmarks and nature park tour,outdoor,4
Calapan,Calapan cultural heritage museum visit,indoor,3
Calbayog City,Calbayog City scenic landmarks and nature park tour,outdoor,4
Calbayog City,Calbayog City cultural heritage museum visit,indoor,3
Caloocan City,Caloocan City scenic landmarks and nature park tour,outdoor,4
Caloocan City,Caloocan City cultural heritage museum visit,indoor,3
Candon,Candon scenic landmarks and nature park tour,outdoor,4
Candon,Candon cultural heritage museum visit,indoor,3
Canlaon,Canlaon scenic landmarks and nature park tour,outdoor,4
Canlaon,Canlaon cultural heritage museum visit,indoor,3
Carcar,Carcar scenic landmarks and nature park tour,outdoor,4
